id,thread_id,from_customer_id,body,created_at
52e2db02-046d-497f-8c72-9afb5076ac6d,bed8bff8-b4ad-4d97-b583-8b8a4ec7a9e3,d0436eb6-004f-45bb-958f-52a25a0a409f,"【その他】
商品: チキンボールスープカレー
産地: 秋田県
突然のご連絡失礼いたします。
貴社の商品に魅力を感じ、ぜひお取り扱いのご相談ができればと思いご連絡いたしました。

弊社は、会員数約60万人の社会貢献型ECサイト「Kuradashi」を運営しております。
品質や商品の背景ストーリーを重視する会員層が多く、貴社のようなこだわりのある商品と相性が良いと感じております。

サービスページ
https://calendar.app.google/YWwNit6KX4HWkmJx9

━━━━━━━━━━━━━━━━━━
■ 負担を最小限に、リスクなくお始めいただける2つの方法
━━━━━━━━━━━━━━━━━━
【1】コスト・手間ゼロでのEC出品
「ブランドの価値を理解してくれる人に届けたい」という想いに応えます。
・費用負担ゼロ：初期・月額・掲載料は一切不要。完全成果報酬型
・運用工数ゼロ：ページ作成やCS対応は弊社が全て担当
・直送販売可能：貴社からお客様へ直接お届けいただく形式です
・貴社のご対応は「商品情報の提供」と「発送」のみ（価格設定もご相談可能です）

【2】１ケースからの余剰在庫・切迫品買取
「もったいない」を価値に変えるお手伝いをいたします。
・柔軟に対応：賞味期限切迫品や季節品の入れ替えなど、1ケースからでもお気軽にご相談いただけます
・SDGsへの貢献：フードロス削減の取り組みとして、貴社の社会的価値つ60万人の会員へポジティブに発信できます

━━━━━━━━━━━━━━━━━━
また、4月~5月の特別掲載枠にて貴社商品をご紹介できればと考えております。

よろしければ30分から1時間ほどオンライン商談のお時間をいただけますと幸いです。
貴社のご状況に合わせてお話しできればと思っております。
---
送信者: 大森美丘
メール: miku_omori@kuradashi.jp",2026-05-11 08:12:38.873381+00
50ab90e9-f0b9-4b46-b589-ea2275442651,08a5f87f-a1b1-4938-9333-775e93e44e40,d0436eb6-004f-45bb-958f-52a25a0a409f,"【商品問い合わせ】
商品: うまみだけおおいた和牛極旨まぜごはんの素
産地: 
突然のご連絡失礼いたします。
貴社の商品に魅力を感じ、ぜひお取り扱いのご相談ができればと思いご連絡いたしました。

弊社は、会員数約60万人の社会貢献型ECサイト「Kuradashi」を運営しております。
品質や商品の背景ストーリーを重視する会員層が多く、貴社のようなこだわりのある商品と相性が良いと感じております。

サービスページ
https://calendar.app.google/YWwNit6KX4HWkmJx9

━━━━━━━━━━━━━━━━━━
■ 負担を最小限に、リスクなくお始めいただける2つの方法
━━━━━━━━━━━━━━━━━━
【1】コスト・手間ゼロでのEC出品
「ブランドの価値を理解してくれる人に届けたい」という想いに応えます。
・費用負担ゼロ：初期・月額・掲載料は一切不要。完全成果報酬型
・運用工数ゼロ：ページ作成やCS対応は弊社が全て担当
・直送販売可能：貴社からお客様へ直接お届けいただく形式です
・貴社のご対応は「商品情報の提供」と「発送」のみ（価格設定もご相談可能です）

【2】１ケースからの余剰在庫・切迫品買取
「もったいない」を価値に変えるお手伝いをいたします。
・柔軟に対応：賞味期限切迫品や季節品の入れ替えなど、1ケースからでもお気軽にご相談いただけます
・SDGsへの貢献：フードロス削減の取り組みとして、貴社の社会的価値つ60万人の会員へポジティブに発信できます

━━━━━━━━━━━━━━━━━━
また、4月~5月の特別掲載枠にて貴社商品をご紹介できればと考えております。

よろしければ30分から1時間ほどオンライン商談のお時間をいただけますと幸いです。
貴社のご状況に合わせてお話しできればと思っております。

---
送信者: 大森美丘
メール: miku_omori@kuradashi.jp",2026-05-11 08:17:47.767553+00
35dc4c5f-821b-476d-b1ad-838fc3e00fc0,c696b4d0-ff26-47ec-a5aa-3b287fef87ed,d0436eb6-004f-45bb-958f-52a25a0a409f,"【商品問い合わせ】
商品: 一撃のカレー2
産地: 北海道
突然のご連絡失礼いたします。
貴社の商品に魅力を感じ、ぜひお取り扱いのご相談ができればと思いご連絡いたしました。

弊社は、会員数約60万人の社会貢献型ECサイト「Kuradashi」を運営しております。
品質や商品の背景ストーリーを重視する会員層が多く、貴社のようなこだわりのある商品と相性が良いと感じております。

サービスページ
https://kuradashi.jp/

━━━━━━━━━━━━━━━━━━
■ 負担を最小限に、リスクなくお始めいただける2つの方法
━━━━━━━━━━━━━━━━━━
【1】コスト・手間ゼロでのEC出品
「ブランドの価値を理解してくれる人に届けたい」という想いに応えます。
・費用負担ゼロ：初期・月額・掲載料は一切不要。完全成果報酬型
・運用工数ゼロ：ページ作成やCS対応は弊社が全て担当
・直送販売可能：貴社からお客様へ直接お届けいただく形式です
・貴社のご対応は「商品情報の提供」と「発送」のみ（価格設定もご相談可能です）

【2】１ケースからの余剰在庫・切迫品買取
「もったいない」を価値に変えるお手伝いをいたします。
・柔軟に対応：賞味期限切迫品や季節品の入れ替えなど、1ケースからでもお気軽にご相談いただけます
・SDGsへの貢献：フードロス削減の取り組みとして、貴社の社会的価値つ60万人の会員へポジティブに発信できます

━━━━━━━━━━━━━━━━━━
また、4月~5月の特別掲載枠にて貴社商品をご紹介できればと考えております。

よろしければ30分から1時間オンライン商談のお時間をいただけますと幸いです。
貴社のご状況に合わせてお話しできればと思っております。

---
送信者: 大森美丘
メール: miku_omori@kuradashi.jp",2026-05-11 08:31:54.917895+00
e11f1cad-d22e-40e0-9540-b7f6d4ed091c,bed8bff8-b4ad-4d97-b583-8b8a4ec7a9e3,fd27be64-9a52-4595-b546-b3cc0b6f37db,"大森　様
この度は当店商品にご興味を頂きありがとうございます。
Kuradashiのサイトを拝見させていただきましたが、今回はご遠慮させていただきたいと思います。
また、ご機会がございましたらよろしくお願いいたします。",2026-05-18 05:38:03.260581+00
a4ffde40-a58d-48d0-a834-f0f9c0484396,28c35687-00ec-4683-a396-6c2fbc4806dd,b35d176b-087a-4e2e-83bd-727eda1eab5c,"【商品問い合わせ】
商品: テスト２
産地: 埼玉県
test
---
送信者: テスト
メール: test@test.com",2026-05-18 14:56:43.85902+00
62b46e69-f38f-4236-9ea3-ead148c972f7,28c35687-00ec-4683-a396-6c2fbc4806dd,b6d4c981-6b2f-40a0-a916-c71e626aaa3b,test,2026-05-18 14:57:28.731718+00
dede4a9d-ba8b-4043-92ed-960ba7ac74f8,28c087cd-fab0-4837-bf45-0232883c00d4,706cf729-8969-411a-ae62-f6ca672beea9,未読数テスト用の問い合わせです,2026-05-23 07:39:38.21507+00
539aad39-6aed-49f2-a9ca-7c23b699a1d2,28c087cd-fab0-4837-bf45-0232883c00d4,4d98b04b-c852-42c6-a57e-a340c6d87b64,返信テストです,2026-05-23 07:40:42.639484+00
0da73a6d-0c7d-4132-bc45-faf86ed11d14,6c57db12-cd88-46ea-b5a7-fc6699eae6a5,706cf729-8969-411a-ae62-f6ca672beea9,既読APIテスト,2026-05-23 08:01:11.234771+00
354e3c08-06d5-4176-be96-1931c302d8b3,c2a84cbe-4341-4226-9000-f4454e0afd29,706cf729-8969-411a-ae62-f6ca672beea9,GETで既読化テスト,2026-05-23 08:01:27.573823+00
